ID,NAME,DATE,OPENING,HIGHEST,LOWEST,CLOSING,PRICE_CHANGE,PERCENTAGE_CHANGE,TRADING_VOLUME,TRANSACTION_AMOUNT
000001,????,1990-12-19,96.0500,99.9800,95.7900,99.9800,--,--,"126,000","494,000"
000001,????,1990-12-20,104.3000,104.3900,99.9800,104.3900,4.4100,4.4109,"19,700","84,000"
000001,????,1990-12-21,109.0700,109.1300,103.7300,109.1300,4.7400,4.5407,"2,800","16,000"
000001,????,1990-12-24,113.5700,114.5500,109.1300,114.5500,5.4200,4.9666,"3,200","31,000"
000001,????,1990-12-25,120.0900,120.2500,114.5500,120.2500,5.7000,4.9760,"1,500","6,000"
000001,????,1990-12-26,125.2700,125.2700,120.2500,125.2700,5.0200,4.1746,"10,000","53,000"
000001,????,1990-12-27,125.2700,125.2800,125.2700,125.2800,0.0100,0.0080,"6,600","104,000"
000001,????,1990-12-28,126.3900,126.4500,125.2800,126.4500,1.1700,0.9339,"10,800","88,000"
000001,????,1990-12-31,126.5600,127.6100,126.4800,127.6100,1.1600,0.9174,"7,800","60,000"
000001,????,1991-01-02,127.6100,128.8400,127.6100,128.8400,1.2300,0.9639,"9,100","59,000"
000001,????,1991-01-03,128.8400,130.1400,128.8400,130.1400,1.3000,1.0090,"14,100","93,000"
000001,????,1991-01-04,131.2700,131.4400,130.1400,131.4400,1.3000,0.9989,"42,000","261,000"
000001,????,1991-01-07,131.9900,132.0600,131.4500,132.0600,0.6200,0.4717,"21,700","141,000"
000001,????,1991-01-08,132.6200,132.6800,132.0600,132.6800,0.6200,0.4695,"292,600","1,806,000"
000001,????,1991-01-09,133.3000,133.3400,132.6800,133.3400,0.6600,0.4974,"560,300","3,228,000"
000001,????,1991-01-10,133.9300,133.9700,133.3400,133.9700,0.6300,0.4725,"999,000","5,399,000"
000001,????,1991-01-11,134.6100,134.6100,134.5100,134.6000,0.6300,0.4703,"1,332,700","7,115,000"
000001,????,1991-01-14,134.1100,135.1900,134.1100,134.6700,0.0700,0.0520,"1,253,000","6,883,000"
000001,????,1991-01-15,134.2100,134.7400,134.1900,134.7400,0.0700,0.0520,"144,600","1,010,000"
000001,????,1991-01-16,134.1900,134.7400,134.1400,134.2400,-0.5000,-0.3711,"50,900","270,000"
000001,????,1991-01-17,133.6700,134.2500,133.6500,134.2500,0.0100,0.0074,"65,800","334,000"
000001,????,1991-01-18,133.7000,134.2500,133.6700,134.2400,-0.0100,-0.0074,"300,400","1,570,000"
000001,????,1991-01-21,133.7000,134.2400,133.6600,134.2400,0.0000,0.0000,"205,100","1,029,000"
000001,????,1991-01-22,133.7200,134.2400,133.6600,133.7200,-0.5200,-0.3874,"35,400","180,000"
000001,????,1991-01-23,133.1700,133.7200,133.1400,133.1700,-0.5500,-0.4113,"109,500","575,000"
000001,????,1991-01-24,132.6100,133.1700,132.5700,132.6100,-0.5600,-0.4205,"185,700","917,000"
000001,????,1991-01-25,132.0500,132.0700,132.0300,132.0500,-0.5600,-0.4223,"344,700","1,722,000"
