证券代码,证券名称,交易时间,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅%,成交量,成交额
002796,世嘉科技,2016-05-10,15.5400,18.6500,15.5400,18.6500,--,--,"15,073","280,201"
002796,世嘉科技,2016-05-11,20.5200,20.5200,20.5200,20.5200,1.8700,10.0268,"3,800","77,976"
002796,世嘉科技,2016-05-12,22.5700,22.5700,22.5700,22.5700,2.0500,9.9903,"4,000","90,280"
002796,世嘉科技,2016-05-13,24.8300,24.8300,24.8300,24.8300,2.2600,10.0133,"2,400","59,592"
002796,世嘉科技,2016-05-16,27.3100,27.3100,27.3100,27.3100,2.4800,9.9879,"6,900","188,439"
002796,世嘉科技,2016-05-17,30.0400,30.0400,30.0400,30.0400,2.7300,9.9963,"13,600","408,544"
002796,世嘉科技,2016-05-18,33.0400,33.0400,33.0400,33.0400,3.0000,9.9867,"50,727","1,676,020"
002796,世嘉科技,2016-05-19,36.3400,36.3400,36.3400,36.3400,3.3000,9.9879,"51,127","1,857,955"
002796,世嘉科技,2016-05-20,39.9700,39.9700,39.9700,39.9700,3.6300,9.9890,"126,093","5,039,937"
002796,世嘉科技,2016-05-23,43.9700,43.9700,43.9700,43.9700,4.0000,10.0075,"126,690","5,570,559"
002796,世嘉科技,2016-05-24,48.3700,48.3700,48.3700,48.3700,4.4000,10.0068,"239,952","11,606,478"
002796,世嘉科技,2016-05-25,53.2100,53.2100,49.3800,52.9900,4.6200,9.5514,"13,482,684","697,533,104"
002796,世嘉科技,2016-05-26,50.1300,55.7900,50.0500,54.4800,1.4900,2.8119,"10,813,548","561,035,392"
002796,世嘉科技,2016-05-27,54.0000,59.0300,53.5100,55.0900,0.6100,1.1197,"11,143,592","625,594,656"
002796,世嘉科技,2016-05-30,53.9100,55.5500,50.6600,53.9800,-1.1100,-2.0149,"6,682,284","356,707,712"
002796,世嘉科技,2016-05-31,53.9800,57.9800,53.0000,56.3100,2.3300,4.3164,"8,648,567","484,711,952"
002796,世嘉科技,2016-06-01,56.4000,61.0000,56.2100,57.2100,0.9000,1.5983,"9,537,950","555,216,224"
002796,世嘉科技,2016-06-02,56.4500,62.9300,55.6600,62.9300,5.7200,9.9983,"10,279,999","608,822,336"
002796,世嘉科技,2016-06-03,62.9000,65.5600,60.3000,61.0000,-1.9300,-3.0669,"11,031,830","683,708,848"
002796,世嘉科技,2016-06-06,60.0000,61.3000,58.0100,59.9800,-1.0200,-1.6721,"6,354,287","378,979,504"
002796,世嘉科技,2016-06-07,60.3200,63.9500,59.4100,63.7000,3.7200,6.2021,"8,345,947","516,736,640"
002796,世嘉科技,2016-06-08,62.0000,62.6800,59.1300,60.5200,-3.1800,-4.9922,"6,393,651","391,774,112"
002796,世嘉科技,2016-06-13,58.0000,58.4000,54.4700,54.4700,-6.0500,-9.9967,"4,868,534","273,320,576"
002796,世嘉科技,2016-06-14,53.0000,55.5000,52.0700,54.6100,0.1400,0.2570,"3,246,120","175,276,085"
002796,世嘉科技,2016-06-15,53.3300,58.5000,53.3100,56.9800,2.3700,4.3399,"4,303,774","243,985,017"
002796,世嘉科技,2016-06-16,56.9800,57.8700,56.2600,56.5000,-0.4800,-0.8424,"3,103,157","176,867,112"
002796,世嘉科技,2016-06-17,56.7900,60.1900,56.7900,60.1900,3.6900,6.5310,"6,018,831","354,802,624"
002796,世嘉科技,2016-06-20,60.0000,63.3000,57.8000,60.9200,0.7300,1.2128,"6,364,079","386,614,688"
002796,世嘉科技,2016-06-21,60.9500,66.8900,60.2000,64.3000,3.3800,5.5483,"8,658,128","549,464,672"
002796,世嘉科技,2016-06-22,63.0100,65.5000,61.8000,63.3000,-1.0000,-1.5552,"5,629,984","357,960,192"
002796,世嘉科技,2016-06-23,63.1100,64.5300,61.1000,63.9800,0.6800,1.0742,"5,179,832","328,191,360"
002796,世嘉科技,2016-06-24,64.0100,69.0000,59.8800,67.4000,3.4200,5.3454,"7,871,065","506,848,464"
002796,世嘉科技,2016-06-27,66.0300,72.0000,66.0100,69.9700,2.5700,3.8131,"7,768,758","542,423,824"
002796,世嘉科技,2016-06-28,69.6000,73.7500,68.8100,71.0600,1.0900,1.5578,"6,631,086","472,128,096"
002796,世嘉科技,2016-06-29,71.3000,78.1700,70.5000,78.1700,7.1100,10.0056,"6,948,040","517,971,040"
002796,世嘉科技,2016-06-30,75.0000,85.5000,73.4700,79.7500,1.5800,2.0212,"11,912,800","944,610,448"
002796,世嘉科技,2016-07-01,78.4500,87.7300,78.2600,87.7300,7.9800,10.0063,"9,386,884","789,664,448"
002796,世嘉科技,2016-07-04,88.0500,96.5000,88.0500,96.5000,8.7700,9.9966,"9,698,209","896,389,168"
002796,世嘉科技,2016-07-05,97.9900,99.8800,93.6000,97.6000,1.1000,1.1399,"9,721,966","941,199,840"
002796,世嘉科技,2016-07-06,95.6800,96.6500,89.6600,94.0000,-3.6000,-3.6885,"7,504,100","701,220,064"
002796,世嘉科技,2016-07-07,92.5000,99.6000,92.4000,94.7100,0.7100,0.7553,"8,436,101","815,619,120"
002796,世嘉科技,2016-07-08,90.0100,92.1700,88.0900,89.4900,-5.2200,-5.5116,"6,428,061","579,659,184"
002796,世嘉科技,2016-07-11,87.0000,89.9500,80.5400,80.8000,-8.6900,-9.7106,"6,371,073","529,181,952"
002796,世嘉科技,2016-07-12,81.4100,88.8800,79.6100,88.8800,8.0800,10.0000,"7,962,064","674,348,032"
002796,世嘉科技,2016-07-13,89.0000,92.2600,85.5000,88.7000,-0.1800,-0.2025,"7,728,397","691,176,480"
002796,世嘉科技,2016-07-14,87.9900,91.7500,86.9000,90.7000,2.0000,2.2548,"5,180,414","461,993,472"
002796,世嘉科技,2016-07-15,91.9000,95.7600,90.0000,90.6700,-0.0300,-0.0331,"7,052,758","659,292,512"
002796,世嘉科技,2016-07-18,87.6800,89.0000,85.0000,86.2000,-4.4700,-4.9300,"4,697,551","407,954,000"
002796,世嘉科技,2016-07-19,86.2000,86.6600,83.1100,85.5700,-0.6300,-0.7309,"3,236,603","273,982,848"
002796,世嘉科技,2016-07-20,86.3700,88.0000,85.4500,85.7000,0.1300,0.1519,"3,081,314","266,806,555"
002796,世嘉科技,2016-07-21,85.0000,85.6900,81.5600,81.9300,-3.7700,-4.3991,"3,499,040","289,458,320"
002796,世嘉科技,2016-07-22,83.5500,83.5800,77.0100,77.9900,-3.9400,-4.8090,"4,002,942","317,223,120"
002796,世嘉科技,2016-07-25,76.9900,78.1700,73.8000,76.0000,-1.9900,-2.5516,"3,320,199","252,225,742"
002796,世嘉科技,2016-07-26,76.0000,77.9700,76.0000,76.6900,0.6900,0.9079,"2,733,537","210,697,355"
002796,世嘉科技,2016-07-27,76.7000,76.7300,69.0900,69.3000,-7.3900,-9.6362,"4,351,331","312,543,552"
002796,世嘉科技,2016-07-28,68.8000,71.2900,67.0000,70.8200,1.5200,2.1934,"3,733,213","257,510,177"
002796,世嘉科技,2016-07-29,70.0300,72.4900,68.6000,70.4300,-0.3900,-0.5507,"3,544,195","250,340,375"
002796,世嘉科技,2016-08-01,68.5000,68.5000,63.3900,66.1500,-4.2800,-6.0770,"2,848,367","187,864,884"
002796,世嘉科技,2016-08-02,65.9900,70.1200,65.8500,70.1200,3.9700,6.0015,"3,742,555","254,384,789"
002796,世嘉科技,2016-08-03,70.1000,75.6000,69.3000,74.5000,4.3800,6.2464,"5,029,388","368,080,944"
002796,世嘉科技,2016-08-04,74.0000,75.2800,72.7000,73.1900,-1.3100,-1.7584,"3,527,929","259,868,454"
002796,世嘉科技,2016-08-05,73.2100,73.8000,70.0000,71.0500,-2.1400,-2.9239,"2,949,779","212,759,011"
002796,世嘉科技,2016-08-08,69.0100,74.2700,67.6000,73.9800,2.9300,4.1239,"3,224,393","227,664,886"
002796,世嘉科技,2016-08-09,72.6000,74.6600,72.1800,74.3700,0.3900,0.5272,"4,260,906","314,149,712"
002796,世嘉科技,2016-08-10,73.9800,75.8600,73.5000,74.3500,-0.0200,-0.0269,"4,897,621","366,174,720"
002796,世嘉科技,2016-08-11,73.3400,73.8000,70.9000,70.9100,-3.4400,-4.6268,"3,201,692","232,149,924"
002796,世嘉科技,2016-08-12,70.3100,71.6800,70.0100,70.8000,-0.1100,-0.1551,"2,438,875","172,694,740"
002796,世嘉科技,2016-08-15,70.6600,75.7600,70.6600,74.6000,3.8000,5.3672,"3,868,677","283,421,328"
002796,世嘉科技,2016-08-16,74.6500,78.9700,74.6500,76.3500,1.7500,2.3458,"4,856,822","374,843,552"
002796,世嘉科技,2016-08-17,76.0000,79.8800,74.1000,79.5500,3.2000,4.1912,"5,711,545","445,714,976"
002796,世嘉科技,2016-08-18,78.9600,84.2000,78.8000,80.9200,1.3700,1.7222,"5,792,203","474,484,240"
002796,世嘉科技,2016-08-19,80.5000,80.5600,77.5200,77.9500,-2.9700,-3.6703,"3,618,763","285,242,272"
002796,世嘉科技,2016-08-22,77.3100,77.9400,73.6100,73.8800,-4.0700,-5.2213,"2,733,209","204,768,031"
002796,世嘉科技,2016-08-23,73.9000,79.7900,73.0000,78.1300,4.2500,5.7526,"3,776,403","291,774,048"
002796,世嘉科技,2016-08-24,78.1400,81.2500,77.0100,77.5500,-0.5800,-0.7424,"4,233,381","336,376,448"
002796,世嘉科技,2016-08-25,75.0000,79.1500,72.5000,78.5000,0.9500,1.2250,"3,817,282","290,626,416"
002796,世嘉科技,2016-08-26,78.5000,78.8400,74.8800,75.9900,-2.5100,-3.1975,"2,788,380","214,856,044"
002796,世嘉科技,2016-08-29,74.8000,76.8800,73.5200,73.7500,-2.2400,-2.9478,"2,097,819","156,994,189"
002796,世嘉科技,2016-08-30,73.7900,75.2500,73.1000,74.0500,0.3000,0.4068,"1,766,962","130,969,099"
002796,世嘉科技,2016-08-31,74.0500,74.6500,71.5200,73.9800,-0.0700,-0.0945,"2,292,470","168,039,104"
002796,世嘉科技,2016-09-01,73.6900,74.2900,71.8900,72.0100,-1.9700,-2.6629,"1,888,583","137,975,423"
002796,世嘉科技,2016-09-02,72.4000,72.4000,70.5600,70.7700,-1.2400,-1.7220,"1,523,535","108,660,603"
002796,世嘉科技,2016-09-05,70.9000,72.5600,70.0200,70.7900,0.0200,0.0283,"1,605,126","114,432,584"
002796,世嘉科技,2016-09-06,70.0000,71.9800,69.0000,71.6000,0.8100,1.1442,"1,764,086","124,423,283"
