Stock Code,Stock Name,Trading Time,Opening Price,Highest Price,Lowest Price,Closing Price,Price Change,Price Change Percentage,Trading Volume,Trading Amount
2796,世嘉科技,5/10/2016,15.54,18.65,15.54,18.65,--,--,"15,073","280,201"
2796,世嘉科技,5/11/2016,20.52,20.52,20.52,20.52,1.87,10.0268,"3,800","77,976"
2796,世嘉科技,5/12/2016,22.57,22.57,22.57,22.57,2.05,9.9903,"4,000","90,280"
2796,世嘉科技,5/13/2016,24.83,24.83,24.83,24.83,2.26,10.0133,"2,400","59,592"
2796,世嘉科技,5/16/2016,27.31,27.31,27.31,27.31,2.48,9.9879,"6,900","188,439"
2796,世嘉科技,5/17/2016,30.04,30.04,30.04,30.04,2.73,9.9963,"13,600","408,544"
2796,世嘉科技,5/18/2016,33.04,33.04,33.04,33.04,3,9.9867,"50,727","1,676,020"
2796,世嘉科技,5/19/2016,36.34,36.34,36.34,36.34,3.3,9.9879,"51,127","1,857,955"
2796,世嘉科技,5/20/2016,39.97,39.97,39.97,39.97,3.63,9.989,"126,093","5,039,937"
2796,世嘉科技,5/23/2016,43.97,43.97,43.97,43.97,4,10.0075,"126,690","5,570,559"
2796,世嘉科技,5/24/2016,48.37,48.37,48.37,48.37,4.4,10.0068,"239,952","11,606,478"
2796,世嘉科技,5/25/2016,53.21,53.21,49.38,52.99,4.62,9.5514,"13,482,684","697,533,104"
2796,世嘉科技,5/26/2016,50.13,55.79,50.05,54.48,1.49,2.8119,"10,813,548","561,035,392"
2796,世嘉科技,5/27/2016,54,59.03,53.51,55.09,0.61,1.1197,"11,143,592","625,594,656"
2796,世嘉科技,5/30/2016,53.91,55.55,50.66,53.98,-1.11,-2.0149,"6,682,284","356,707,712"
2796,世嘉科技,5/31/2016,53.98,57.98,53,56.31,2.33,4.3164,"8,648,567","484,711,952"
2796,世嘉科技,6/1/2016,56.4,61,56.21,57.21,0.9,1.5983,"9,537,950","555,216,224"
2796,世嘉科技,6/2/2016,56.45,62.93,55.66,62.93,5.72,9.9983,"10,279,999","608,822,336"
2796,世嘉科技,6/3/2016,62.9,65.56,60.3,61,-1.93,-3.0669,"11,031,830","683,708,848"
2796,世嘉科技,6/6/2016,60,61.3,58.01,59.98,-1.02,-1.6721,"6,354,287","378,979,504"
2796,世嘉科技,6/7/2016,60.32,63.95,59.41,63.7,3.72,6.2021,"8,345,947","516,736,640"
2796,世嘉科技,6/8/2016,62,62.68,59.13,60.52,-3.18,-4.9922,"6,393,651","391,774,112"
2796,世嘉科技,6/13/2016,58,58.4,54.47,54.47,-6.05,-9.9967,"4,868,534","273,320,576"
2796,世嘉科技,6/14/2016,53,55.5,52.07,54.61,0.14,0.257,"3,246,120","175,276,085"
2796,世嘉科技,6/15/2016,53.33,58.5,53.31,56.98,2.37,4.3399,"4,303,774","243,985,017"
2796,世嘉科技,6/16/2016,56.98,57.87,56.26,56.5,-0.48,-0.8424,"3,103,157","176,867,112"
2796,世嘉科技,6/17/2016,56.79,60.19,56.79,60.19,3.69,6.531,"6,018,831","354,802,624"
2796,世嘉科技,6/20/2016,60,63.3,57.8,60.92,0.73,1.2128,"6,364,079","386,614,688"
2796,世嘉科技,6/21/2016,60.95,66.89,60.2,64.3,3.38,5.5483,"8,658,128","549,464,672"
2796,世嘉科技,6/22/2016,63.01,65.5,61.8,63.3,-1,-1.5552,"5,629,984","357,960,192"
2796,世嘉科技,6/23/2016,63.11,64.53,61.1,63.98,0.68,1.0742,"5,179,832","328,191,360"
2796,世嘉科技,6/24/2016,64.01,69,59.88,67.4,3.42,5.3454,"7,871,065","506,848,464"
2796,世嘉科技,6/27/2016,66.03,72,66.01,69.97,2.57,3.8131,"7,768,758","542,423,824"
2796,世嘉科技,6/28/2016,69.6,73.75,68.81,71.06,1.09,1.5578,"6,631,086","472,128,096"
2796,世嘉科技,6/29/2016,71.3,78.17,70.5,78.17,7.11,10.0056,"6,948,040","517,971,040"
2796,世嘉科技,6/30/2016,75,85.5,73.47,79.75,1.58,2.0212,"11,912,800","944,610,448"
2796,世嘉科技,7/1/2016,78.45,87.73,78.26,87.73,7.98,10.0063,"9,386,884","789,664,448"
2796,世嘉科技,7/4/2016,88.05,96.5,88.05,96.5,8.77,9.9966,"9,698,209","896,389,168"
2796,世嘉科技,7/5/2016,97.99,99.88,93.6,97.6,1.1,1.1399,"9,721,966","941,199,840"
2796,世嘉科技,7/6/2016,95.68,96.65,89.66,94,-3.6,-3.6885,"7,504,100","701,220,064"
2796,世嘉科技,7/7/2016,92.5,99.6,92.4,94.71,0.71,0.7553,"8,436,101","815,619,120"
2796,世嘉科技,7/8/2016,90.01,92.17,88.09,89.49,-5.22,-5.5116,"6,428,061","579,659,184"
2796,世嘉科技,7/11/2016,87,89.95,80.54,80.8,-8.69,-9.7106,"6,371,073","529,181,952"
2796,世嘉科技,7/12/2016,81.41,88.88,79.61,88.88,8.08,10,"7,962,064","674,348,032"
2796,世嘉科技,7/13/2016,89,92.26,85.5,88.7,-0.18,-0.2025,"7,728,397","691,176,480"
2796,世嘉科技,7/14/2016,87.99,91.75,86.9,90.7,2,2.2548,"5,180,414","461,993,472"
2796,世嘉科技,7/15/2016,91.9,95.76,90,90.67,-0.03,-0.0331,"7,052,758","659,292,512"
2796,世嘉科技,7/18/2016,87.68,89,85,86.2,-4.47,-4.93,"4,697,551","407,954,000"
2796,世嘉科技,7/19/2016,86.2,86.66,83.11,85.57,-0.63,-0.7309,"3,236,603","273,982,848"
2796,世嘉科技,7/20/2016,86.37,88,85.45,85.7,0.13,0.1519,"3,081,314","266,806,555"
2796,世嘉科技,7/21/2016,85,85.69,81.56,81.93,-3.77,-4.3991,"3,499,040","289,458,320"
2796,世嘉科技,7/22/2016,83.55,83.58,77.01,77.99,-3.94,-4.809,"4,002,942","317,223,120"
2796,世嘉科技,7/25/2016,76.99,78.17,73.8,76,-1.99,-2.5516,"3,320,199","252,225,742"
