Stock Code,Stock Name,Trading Time,Opening Price,Highest Price,Lowest Price,Closing Price,Price Change,Price Change Percentage,Trading Volume,Trading Amount
600873,梅花生物,2/17/1995,5.5,6.25,5.5,5.95,--,--,"11,954,900","69,198,000"
600873,梅花生物,2/20/1995,5.81,5.95,5.7,5.76,-0.19,-3.1933,"3,859,200","22,417,000"
600873,梅花生物,2/21/1995,5.75,5.88,5.61,5.88,0.12,2.0833,"2,091,500","12,031,000"
600873,梅花生物,2/22/1995,5.86,8.69,5.8,8.32,2.44,41.4966,"16,299,000","118,230,000"
600873,梅花生物,2/23/1995,7.98,9.99,7.81,9.99,1.67,20.0721,"18,309,200","158,378,000"
600873,梅花生物,2/24/1995,9.8,9.9,7.85,8.38,-1.61,-16.1161,"14,997,300","130,341,000"
600873,梅花生物,2/27/1995,9,9.17,8.4,8.7,0.32,3.8186,"10,314,400","90,071,000"
600873,梅花生物,2/28/1995,8.4,8.65,7.77,8.1,-0.6,-6.8966,"5,508,500","44,429,000"
600873,梅花生物,3/1/1995,8,8.38,7.83,8.23,0.13,1.6049,"3,280,000","26,717,000"
600873,梅花生物,3/2/1995,8.2,8.3,8.03,8.18,-0.05,-0.6075,"2,654,400","21,765,000"
600873,梅花生物,3/3/1995,8.2,9.28,8.12,8.9,0.72,8.802,"10,558,500","93,783,000"
600873,梅花生物,3/6/1995,9.1,10.8,8.91,10.53,1.63,18.3146,"11,967,500","132,168,000"
600873,梅花生物,3/7/1995,10.07,10.99,9.6,10.65,0.12,1.1396,"13,586,900","140,139,000"
600873,梅花生物,3/8/1995,10.38,10.61,10.05,10.6,-0.05,-0.4695,"5,503,400","66,318,000"
600873,梅花生物,3/9/1995,10.2,10.7,10.03,10.17,-0.43,-4.0566,"5,922,500","61,446,000"
600873,梅花生物,3/10/1995,10.03,10.18,9.65,9.81,-0.36,-3.5398,"4,840,800","47,712,000"
600873,梅花生物,3/13/1995,10.01,10.08,9.66,9.8,-0.01,-0.1019,"2,975,300","29,373,000"
