????,????,????,???,???,???,???,??,???%,???,???
603300,????,2015-05-29,2.1200,2.1200,2.1200,2.1200,--,--,"13,700","162,208"
603300,????,2015-06-01,2.3300,2.3300,2.3300,2.3300,0.2110,9.9660,"5,700","74,214"
603300,????,2015-06-02,2.5600,2.5600,2.5600,2.5600,0.2324,9.9820,"3,400","48,688"
603300,????,2015-06-03,2.8200,2.8200,2.8200,2.8200,0.2558,9.9898,"13,300","209,475"
603300,????,2015-06-04,3.1000,3.1000,3.1000,3.1000,0.2825,10.0305,"9,700","168,101"
603300,????,2015-06-05,3.4100,3.4100,3.4100,3.4100,0.3094,9.9842,"14,100","268,746"
603300,????,2015-06-08,3.7500,3.7500,3.7500,3.7500,0.3415,10.0197,"14,200","297,774"
603300,????,2015-06-09,4.1300,4.1300,4.1300,4.1300,0.3755,10.0139,"21,650","499,466"
603300,????,2015-06-10,4.5400,4.5400,4.5400,4.5400,0.4131,10.0138,"30,950","785,511"
603300,????,2015-06-11,4.9900,4.9900,4.9900,4.9900,0.4542,10.0079,"23,750","663,100"
603300,????,2015-06-12,5.4900,5.4900,5.4900,5.4900,0.4989,9.9928,"42,900","1,317,459"
603300,????,2015-06-15,6.0400,6.0400,6.0400,6.0400,0.5490,9.9973,"72,098","2,435,470"
603300,????,2015-06-16,6.6400,6.6400,6.6400,6.6400,0.6044,10.0058,"227,900","8,468,764"
603300,????,2015-06-17,7.3100,7.3100,6.7200,7.3100,0.6652,10.0107,"30,985,322","1,241,008,016"
603300,????,2015-06-18,6.7400,7.0100,6.5800,6.5800,-0.7314,-10.0053,"9,119,603","342,749,504"
603300,????,2015-06-19,5.9200,6.2600,5.9200,5.9200,-0.6580,-10.0020,"14,074,747","470,214,176"
603300,????,2015-06-23,5.6700,5.9200,5.3300,5.4500,-0.4757,-8.0345,"13,501,979","420,389,456"
603300,????,2015-06-24,5.5400,5.7200,5.1900,5.3800,-0.0625,-1.1478,"13,847,609","422,429,312"
603300,????,2015-06-25,5.3300,5.3400,4.8800,4.9400,-0.4383,-8.1431,"10,655,699","307,009,280"
603300,????,2015-06-26,4.7900,4.7900,4.4500,4.4500,-0.4934,-9.9794,"7,819,177","198,631,977"
603300,????,2015-06-29,4.5400,4.5400,4.0100,4.0100,-0.4453,-10.0049,"8,383,955","194,960,948"
603300,????,2015-06-30,3.9000,4.4000,3.6100,4.3600,0.3559,8.8853,"10,727,753","240,018,493"
603300,????,2015-07-01,4.1400,4.5700,4.1100,4.1400,-0.2182,-5.0030,"10,739,417","262,085,450"
603300,????,2015-07-02,4.1800,4.2000,3.7300,3.7300,-0.4148,-10.0116,"7,520,440","165,804,848"
603300,????,2015-07-03,3.5800,3.8300,3.3600,3.3700,-0.3559,-9.5456,"6,836,016","133,606,330"
603300,????,2015-07-06,3.7100,3.7100,3.4700,3.7100,0.3379,10.0193,"12,747,711","261,675,599"
603300,????,2015-07-07,3.4000,3.6300,3.3400,3.3400,-0.3700,-9.9720,"6,128,942","117,631,320"
603300,????,2015-07-08,3.0100,3.0100,3.0100,3.0100,-0.3345,-10.0138,"1,283,600","21,577,316"
603300,????,2015-07-09,2.7100,3.3100,2.7100,3.3100,0.3005,9.9970,"8,120,294","141,402,957"
603300,????,2015-07-10,3.4000,3.6400,3.3300,3.6400,0.3307,10.0018,"3,146,630","62,705,190"
603300,????,2015-07-13,4.0000,4.0000,3.8600,4.0000,0.3630,9.9805,"6,358,219","141,389,567"
603300,????,2015-07-14,4.1100,4.3600,4.0000,4.1200,0.1217,3.0424,"14,981,472","350,758,512"
603300,????,2015-07-15,3.9500,4.0300,3.7100,3.7100,-0.4114,-9.9811,"6,518,603","138,972,449"
603300,????,2015-07-16,3.3800,3.8800,3.3400,3.6300,-0.0804,-2.1669,"7,090,118","143,767,744"
603300,????,2015-07-17,3.6500,3.9300,3.6000,3.8600,0.2290,6.3085,"5,479,596","115,775,064"
603300,????,2015-07-20,3.8500,3.9800,3.7600,3.8400,-0.0145,-0.3757,"6,423,989","138,862,881"
603300,????,2015-07-21,3.7900,4.1800,3.7100,4.1300,0.2897,7.5354,"8,068,553","177,557,935"
603300,????,2015-07-22,4.0600,4.3600,4.0300,4.2300,0.0967,2.3390,"11,294,767","267,627,909"
603300,????,2015-07-23,4.2200,4.6500,4.0800,4.6500,0.4237,10.0144,"14,136,565","352,848,128"
603300,????,2015-07-24,4.7700,4.9400,4.4400,4.5400,-0.1162,-2.4965,"17,523,897","463,189,872"
603300,????,2015-07-27,4.2900,4.6300,4.0800,4.0800,-0.4543,-10.0101,"8,794,664","215,015,413"
603300,????,2015-07-28,3.6900,4.1500,3.6800,3.6800,-0.4022,-9.8479,"8,885,795","188,655,279"
603300,????,2015-07-29,3.8200,4.0500,3.7200,4.0500,0.3683,10.0030,"7,898,457","170,880,875"
603300,????,2015-07-30,4.1000,4.4200,4.0500,4.1300,0.0822,2.0295,"10,604,793","251,818,267"
603300,????,2015-07-31,3.9700,4.5500,3.9500,4.5500,0.4132,9.9990,"13,872,841","340,561,808"
603300,????,2015-08-03,4.7000,5.0000,4.6000,5.0000,0.4542,9.9921,"21,918,517","597,554,512"
603300,????,2015-08-04,5.1300,5.3900,4.5000,4.7900,-0.2075,-4.1502,"23,250,227","630,833,376"
603300,????,2015-08-05,4.5300,5.2700,4.5300,5.2700,0.4793,10.0015,"14,336,087","407,166,048"
603300,????,2015-08-06,5.5800,5.8000,5.2400,5.8000,0.5275,10.0064,"29,947,545","947,901,408"
603300,????,2015-08-07,5.3600,6.2900,5.3600,5.7800,-0.0232,-0.4001,"25,517,108","822,388,352"
603300,????,2015-08-10,5.6300,5.9900,5.5400,5.8300,0.0536,0.9280,"20,575,161","664,147,536"
603300,????,2015-08-11,5.7200,6.3500,5.7100,6.0500,0.2199,3.7722,"20,309,750","682,726,096"
603300,????,2015-08-12,5.9000,5.9900,5.4500,5.4600,-0.5847,-9.6654,"16,587,830","529,629,104"
603300,????,2015-08-13,5.2800,5.5100,5.1100,5.3500,-0.1109,-2.0294,"11,919,590","352,885,728"
603300,????,2015-08-14,5.4100,5.6300,5.2600,5.4800,0.1252,2.3385,"11,170,849","340,381,216"
603300,????,2015-08-17,5.3300,5.3500,5.1100,5.1600,-0.3184,-5.8113,"8,905,711","258,618,747"
603300,????,2015-08-18,5.1800,5.4500,4.6500,4.6900,-0.4702,-9.1113,"9,172,467","263,420,807"
603300,????,2015-08-19,4.5900,4.9200,4.2900,4.8800,0.1860,3.9655,"8,765,543","229,675,825"
603300,????,2015-08-20,4.7900,4.9000,4.6000,4.6200,-0.2611,-5.3544,"5,901,118","156,395,271"
603300,????,2015-08-21,4.4300,4.5600,4.1500,4.1600,-0.4579,-9.9213,"5,658,459","137,732,428"
603300,????,2015-08-24,3.9700,4.0000,3.7400,3.7400,-0.4148,-9.9774,"3,460,153","73,129,620"
603300,????,2015-08-25,3.3700,3.9300,3.3700,3.3700,-0.3738,-9.9877,"8,161,440","161,032,597"
603300,????,2015-08-26,3.5000,3.7100,3.4000,3.7100,0.3364,9.9858,"12,460,388","251,739,867"
603300,????,2015-08-27,3.7600,3.9600,3.5100,3.9400,0.2396,6.4666,"12,001,926","252,773,108"
603300,????,2015-08-28,3.9000,4.2200,3.8000,4.1100,0.1626,4.1219,"11,332,977","251,504,238"
603300,????,2015-08-31,4.0200,4.0200,3.7000,3.7000,-0.4112,-10.0112,"6,371,405","138,460,612"
603300,????,2015-09-01,3.5900,3.6800,3.3300,3.3300,-0.3703,-10.0184,"7,136,056","138,229,170"
603300,????,2015-09-02,3.1100,3.5500,3.0800,3.1500,-0.1733,-5.2106,"6,203,947","115,429,396"
603300,????,2015-09-07,3.2600,3.4000,3.1700,3.2700,0.1197,3.7969,"4,448,779","81,987,799"
603300,????,2015-09-08,3.1900,3.6000,3.1900,3.6000,0.3274,10.0052,"9,235,407","181,566,449"
603300,????,2015-09-09,3.7200,3.8600,3.6200,3.7500,0.1537,4.2698,"11,407,039","238,577,310"
603300,????,2015-09-10,3.5800,3.9600,3.5000,3.7700,0.0160,0.4263,"9,398,797","198,987,937"
603300,????,2015-09-11,3.8500,4.1500,3.8500,4.1500,0.3774,10.0122,"8,320,029","188,628,675"
603300,????,2015-09-14,4.4300,4.5600,3.7300,3.7700,-0.3720,-8.9708,"18,694,402","445,503,168"
603300,????,2015-09-15,3.5000,4.0000,3.4000,3.7100,-0.0644,-1.7061,"13,113,995","262,622,935"
603300,????,2015-09-16,3.7500,4.0800,3.7000,4.0800,0.3720,10.0259,"13,612,968","298,873,696"
603300,????,2015-09-17,4.1100,4.2000,3.8500,3.8800,-0.2020,-4.9481,"13,357,820","299,794,208"
603300,????,2015-09-18,3.9000,4.0200,3.7000,3.9300,0.0446,1.1494,"8,045,192","173,198,797"
603300,????,2015-09-21,3.8100,4.1600,3.7500,4.1400,0.2164,5.5134,"8,685,365","196,091,610"
603300,????,2015-09-22,4.1100,4.5600,4.1100,4.5600,0.4149,10.0184,"11,794,205","289,485,264"
603300,????,2015-09-23,4.5400,4.9500,4.4700,4.7200,0.1592,3.4941,"15,711,670","411,335,376"
603300,????,2015-10-19,5.1900,5.1900,5.1900,5.1900,0.4720,10.0095,"328,729","9,536,428"
603300,????,2015-10-20,5.7100,5.7100,5.7100,5.7100,0.5186,9.9971,"1,082,333","34,537,246"
603300,????,2015-10-21,5.9500,6.0600,5.4500,5.5700,-0.1395,-2.4448,"17,574,805","567,798,752"
603300,????,2015-10-22,5.4500,5.7200,5.3800,5.6600,0.0894,1.6060,"12,202,443","380,093,360"
603300,????,2015-10-23,5.5800,6.2200,5.4900,5.8300,0.1771,3.1312,"12,658,702","420,666,480"
603300,????,2015-10-26,5.7200,5.7800,5.2500,5.3400,-0.4882,-8.3695,"9,586,124","291,074,480"
603300,????,2015-10-27,5.3300,5.3600,4.9100,5.2700,-0.0751,-1.4051,"7,125,138","205,461,201"
603300,????,2015-10-28,5.2700,5.2700,4.9200,4.9900,-0.2755,-5.2279,"4,850,662","138,411,376"
603300,????,2015-10-29,5.0000,5.1800,4.9200,5.0500,0.0591,1.1833,"3,839,985","108,725,124"
603300,????,2015-10-30,5.0100,5.1100,4.8100,5.0600,0.0018,0.0356,"4,262,035","118,393,017"
603300,????,2015-11-02,4.9400,5.3300,4.9100,5.1400,0.0876,1.7329,"5,705,999","165,297,548"
603300,????,2015-11-03,5.0900,5.2600,4.9700,5.1900,0.0465,0.9042,"4,611,391","132,529,259"
603300,????,2015-11-04,5.2100,5.5400,5.1900,5.4200,0.2342,4.5131,"6,358,360","190,854,979"
