Stock Code,Stock Name,Trading Time,Opening Price,Highest Price,Lowest Price,Closing Price,Price Change,Price Change Percentage,Trading Volume,Trading Amount
2335,科华数据,1/14/2010,43.5,47.11,43.35,44.74,0.86,1.9599,"8,530,744","381,153,458"
2335,科华数据,1/15/2010,44,45.49,44,44.99,0.25,0.5588,"3,734,273","166,905,349"
2335,科华数据,1/18/2010,45.3,46.2,43.5,43.83,-1.16,-2.5784,"3,078,971","136,352,474"
2335,科华数据,1/19/2010,43.6,45.75,42.7,45.75,1.92,4.3806,"3,707,511","163,451,251"
2335,科华数据,1/20/2010,45,47.2,43.51,44.5,-1.25,-2.7322,"4,656,206","213,234,328"
2335,科华数据,1/21/2010,44.6,45.99,43.2,45.08,0.58,1.3034,"2,480,630","110,876,145"
2335,科华数据,1/22/2010,43.65,44.4,40.73,41.9,-3.18,-7.0541,"2,665,678","112,899,135"
2335,科华数据,1/25/2010,42.31,43.28,41.6,41.85,-0.05,-0.1193,"1,313,779","55,888,699"
2335,科华数据,1/26/2010,41.3,42.2,38.83,40.2,-1.65,-3.9427,"1,476,691","59,654,837"
2335,科华数据,1/27/2010,39.62,40.38,39.1,39.5,-0.7,-1.7413,"1,284,616","51,083,748"
2335,科华数据,1/28/2010,39.51,39.6,38.3,38.53,-0.97,-2.4557,"1,307,489","50,842,554"
2335,科华数据,1/29/2010,38.3,40.4,38.01,39.05,0.52,1.3496,"1,548,701","61,245,099"
2335,科华数据,2/1/2010,38.5,38.94,37,37.88,-1.17,-2.9962,"1,173,497","44,363,392"
2335,科华数据,2/2/2010,38.8,41.67,38.8,41.48,3.6,9.5037,"3,581,510","147,122,780"
2335,科华数据,2/3/2010,40.6,41.04,39.35,40.64,-0.84,-2.0251,"1,995,927","80,219,464"
2335,科华数据,2/4/2010,40.2,41.4,39.7,40.33,-0.31,-0.7628,"1,247,722","50,433,069"
2335,科华数据,2/5/2010,39.4,39.4,38.11,38.42,-1.91,-4.7359,"1,181,026","45,769,738"
2335,科华数据,2/8/2010,38.24,39.66,38.02,39.38,0.96,2.4987,"669,718","26,146,204"
2335,科华数据,2/9/2010,39.25,39.91,38.75,39.05,-0.33,-0.838,"616,051","24,258,637"
2335,科华数据,2/10/2010,39.66,41.1,39.17,41.1,2.05,5.2497,"1,015,006","40,863,472"
2335,科华数据,2/11/2010,40.97,41.31,40.44,41,-0.1,-0.2433,"686,471","28,043,836"
2335,科华数据,2/12/2010,41.32,42.4,40.86,42.2,1.2,2.9268,"933,022","38,772,645"
2335,科华数据,2/22/2010,42.05,42.8,41.48,42.2,0,0,"1,093,845","46,163,378"
2335,科华数据,2/23/2010,42.02,42.15,41.05,41.95,-0.25,-0.5924,"675,680","28,108,863"
2335,科华数据,2/24/2010,41.8,43.2,41.38,42.93,0.98,2.3361,"1,235,331","52,802,477"
2335,科华数据,2/26/2010,43.55,43.78,42.64,43,0.07,0.1631,"1,273,123","54,922,594"
2335,科华数据,3/1/2010,42.79,43.76,42.53,43.55,0.55,1.2791,"1,246,504","53,853,465"
2335,科华数据,3/2/2010,43.47,43.47,42.7,43.25,-0.3,-0.6889,"1,069,542","46,055,207"
2335,科华数据,3/3/2010,43,43.82,42.88,43.17,-0.08,-0.185,"847,437","36,743,137"
2335,科华数据,3/4/2010,43.25,43.46,41.01,41.13,-2.04,-4.7255,"1,350,315","56,746,058"
2335,科华数据,3/5/2010,41,41.58,40.12,40.8,-0.33,-0.8023,"874,529","35,635,777"
2335,科华数据,3/8/2010,40.62,42.2,40.62,41.41,0.61,1.4951,"789,518","32,784,551"
2335,科华数据,3/9/2010,41.11,41.88,40.9,41.71,0.3,0.7245,"517,487","21,440,437"
2335,科华数据,3/10/2010,41.58,42.5,41.53,42.3,0.59,1.4145,"992,272","41,802,648"
2335,科华数据,3/11/2010,42.16,43.14,41.8,43.02,0.72,1.7021,"1,130,002","48,157,320"
2335,科华数据,3/12/2010,43.02,46.86,43,44.38,1.36,3.1613,"2,877,634","128,043,059"
2335,科华数据,3/15/2010,44.44,44.71,43.69,44.49,0.11,0.2479,"1,145,895","50,675,305"
2335,科华数据,3/16/2010,44.5,45.49,43.11,43.68,-0.81,-1.8206,"1,009,372","44,789,227"
2335,科华数据,3/17/2010,43.97,44.82,43.36,44.69,1.01,2.3123,"918,333","40,543,540"
2335,科华数据,3/18/2010,44.5,45.98,44.31,45.05,0.36,0.8055,"937,114","42,199,422"
2335,科华数据,3/19/2010,45.48,45.48,43.88,44.3,-0.75,-1.6648,"958,246","42,494,166"
2335,科华数据,3/22/2010,44.27,44.7,43.8,44.65,0.35,0.7901,"620,298","27,495,710"
2335,科华数据,3/23/2010,44.65,44.65,43.01,43.58,-1.07,-2.3964,"1,318,750","57,458,184"
2335,科华数据,3/24/2010,43.6,46.36,43.26,45.9,2.32,5.3235,"2,499,351","113,064,862"
2335,科华数据,3/25/2010,45.68,47.2,45.12,46.29,0.39,0.8497,"2,166,099","100,610,711"
2335,科华数据,3/26/2010,45.7,46.4,44,46.06,-0.23,-0.4969,"1,240,958","56,447,688"
2335,科华数据,3/29/2010,46.06,48.5,45,48.19,2.13,4.6244,"2,135,596","100,791,798"
2335,科华数据,3/30/2010,48.19,49.3,47.61,48.28,0.09,0.1868,"2,033,627","98,504,482"
2335,科华数据,3/31/2010,46.8,47.79,46.21,47.3,-0.98,-2.0298,"3,539,625","166,497,079"
2335,科华数据,4/1/2010,47,49.76,47,48.51,1.21,2.5581,"2,644,203","128,186,722"
2335,科华数据,4/2/2010,48,49.78,47.55,49.1,0.59,1.2162,"1,998,182","97,613,893"
2335,科华数据,4/6/2010,49.68,50.67,48.02,48.67,-0.43,-0.8758,"2,275,375","111,427,143"
2335,科华数据,4/7/2010,49.15,50.99,49.15,50,1.33,2.7327,"3,144,375","157,566,693"
2335,科华数据,4/8/2010,49.8,51.43,49.8,50.99,0.99,1.98,"3,040,145","153,837,131"
2335,科华数据,4/9/2010,50.7,51.8,50.23,51.59,0.6,1.1767,"1,923,803","98,419,117"
2335,科华数据,4/12/2010,51.5,53.47,50.82,52.83,1.24,2.4036,"1,935,590","100,444,607"
2335,科华数据,4/13/2010,52.3,53.88,48.05,50.77,-2.06,-3.8993,"4,177,304","215,065,019"
2335,科华数据,4/14/2010,50.38,50.99,49,50.3,-0.47,-0.9257,"1,551,150","77,783,053"
2335,科华数据,4/15/2010,50.08,50.3,46.86,47.31,-2.99,-5.9443,"2,322,869","111,894,422"
2335,科华数据,4/16/2010,47.3,48.37,47.1,47.62,0.31,0.6553,"802,058","38,381,594"
2335,科华数据,4/19/2010,47.9,49,46.9,46.92,-0.7,-1.47,"1,153,362","55,261,230"
2335,科华数据,4/21/2010,47.5,50.1,47.42,49.95,3.03,6.4578,"1,368,646","67,374,215"
2335,科华数据,4/22/2010,49.9,51.7,49.35,51.29,1.34,2.6827,"1,274,126","64,742,974"
2335,科华数据,4/23/2010,50.35,51,48.45,49.04,-2.25,-4.3868,"2,091,126","103,547,452"
2335,科华数据,4/26/2010,48.55,49.18,47.66,48.4,-0.64,-1.3051,"831,390","40,289,347"
